Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Tzoid",764254651,5105568,2890989,2214579,130,-54,55,284,92,151,189,20,42,73,101,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,16,12,7
"Sutti",363928881,6139314,3641676,2497638,145,-69,178,357,113,328,214,41,62,92,115,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,19,9,9
"Sal",938645158,5081193,3179145,1902048,167,104,119,216,92,135,179,21,28,55,90,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,11,8,5
"Dalziel",711271515,5848603,3527305,2321298,151,1,141,226,120,148,213,15,33,70,115,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,19,10,8
"Jazzy",794586425,5708884,3288634,2420250,135,-63,66,116,110,53,217,3,17,39,102,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,19,9,8
"Krupten",427459795,4353723,2543789,1809934,140,-145,157,265,86,124,170,12,28,63,100,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,16,12,8
"Newhawk",267721749,4769601,2725815,2043786,133,70,286,216,102,141,186,20,27,48,76,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,15,11,7
"Jameg",357873854,4045106,2370569,1674537,141,-44,75,186,64,98,142,12,21,35,58,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,7,4
"Beck",837692324,5530277,3282212,2248065,146,-22,103,264,102,210,208,35,37,67,78,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,17,11,9
"TorenCalduris",486623434,6101408,3700955,2400453,154,6,332,289,126,202,222,24,44,92,125,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,19,12,10
"Jollyrogercjf",497215141,3090721,1779600,1311121,135,34,84,111,33,17,124,0,7,24,42,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,8,5,4
"Rouge 5hadow",789452259,3289160,1896926,1392234,136,-126,105,178,60,53,154,8,10,38,50,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,7,6,3
"RedWolf",863235743,6034374,3423818,2610556,131,-52,102,232,116,163,237,19,36,72,98,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,20,10,9
"KingZach",695634865,5319357,3193238,2126119,150,129,159,251,111,173,211,21,36,63,112,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,19,10,6
"LordJarJar",268221268,3767477,2274959,1492518,152,-262,184,236,57,120,149,12,26,39,66,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,10,8,6
"Flat Taco",324122448,3651398,2102512,1548886,135,-282,337,288,69,102,150,15,26,59,76,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,13,11,7
"MINI Val",162125591,3092156,1842500,1249656,147,-621,738,412,67,158,106,22,36,60,74,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,11,10,6
"Esaascar",478314836,5113176,2907784,2205392,131,-152,137,220,101,139,180,15,32,53,94,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,17,10,7
"Kyrie Unobii",549748682,3677006,2096349,1580657,132,-6,200,308,65,118,126,7,29,61,77,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,6,6
"Squirty",271337338,5969697,3388668,2581029,131,-17,342,298,99,231,237,29,51,81,105,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,20,13,12
"FiftyHaydsOfGrey",374554631,4017121,2377702,1639419,145,-205,109,190,89,77,160,6,21,40,86,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,18,12,9
"Scuba Bill23",834833341,5332222,2930234,2401988,121,-181,81,190,88,123,224,9,30,47,87,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,17,9,8
"Lala",235129274,5066683,3017895,2048788,147,33,86,239,103,101,194,11,23,78,94,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,18,11,8
"bellojack",664471259,5483896,3254099,2229797,145,26,98,276,123,162,201,19,34,85,110,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,16,10,11
"Upgreyd",564121831,6276327,3598072,2678255,134,37,291,304,70,321,233,54,57,70,105,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,23,11,10
"Senat0r Lipost",867529836,5855630,3373301,2482329,135,-43,186,202,99,97,220,6,29,70,114,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,19,9,7
"Teg",892657156,6029289,3456334,2572955,134,-31,315,250,109,194,236,27,43,69,100,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,20,13,11
"Hollow Child",266796217,5821115,3409639,2411476,141,-115,108,185,97,124,221,11,27,56,104,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,20,15,11
